DATA;HORA;CONSUM (Wh)
;;
2016-08-04;0;466
2016-08-04;1;430
2016-08-04;2;473
2016-08-04;3;455
2016-08-04;4;506
2016-08-04;5;490
2016-08-04;6;512
2016-08-04;7;1351
2016-08-04;8;1028
2016-08-04;9;469
2016-08-04;10;435
2016-08-04;11;434
2016-08-04;12;494
2016-08-04;13;1642
2016-08-04;14;1335
2016-08-04;15;1135
2016-08-04;16;452
2016-08-04;17;910
2016-08-04;18;955
2016-08-04;19;1764
2016-08-04;20;2420
2016-08-04;21;2595
2016-08-04;22;768
2016-08-04;23;486
;;
2016-08-05;0;525
2016-08-05;1;481
2016-08-05;2;545
2016-08-05;3;487
2016-08-05;4;458
2016-08-05;5;464
2016-08-05;6;455
2016-08-05;7;680
2016-08-05;8;1288
2016-08-05;9;863
2016-08-05;10;492
2016-08-05;11;535
2016-08-05;12;1304
2016-08-05;13;1865
2016-08-05;14;2199
2016-08-05;15;858
2016-08-05;16;778
2016-08-05;17;1400
2016-08-05;18;2145
2016-08-05;19;1658
2016-08-05;20;666
2016-08-05;21;2403
2016-08-05;22;894
2016-08-05;23;881
;;
2016-08-06;0;1100
2016-08-06;1;672
2016-08-06;2;561
2016-08-06;3;456
2016-08-06;4;480
2016-08-06;5;453
2016-08-06;6;426
2016-08-06;7;461
2016-08-06;8;617
2016-08-06;9;1396
2016-08-06;10;1211
2016-08-06;11;2377
2016-08-06;12;2171
2016-08-06;13;1620
2016-08-06;14;860
2016-08-06;15;1392
2016-08-06;16;1461
2016-08-06;17;442
2016-08-06;18;675
2016-08-06;19;955
2016-08-06;20;2190
2016-08-06;21;1165
2016-08-06;22;684
2016-08-06;23;487
;;
2016-08-07;0;481
2016-08-07;1;476
2016-08-07;2;479
2016-08-07;3;477
2016-08-07;4;480
2016-08-07;5;586
2016-08-07;6;480
2016-08-07;7;2110
2016-08-07;8;1425
2016-08-07;9;638
2016-08-07;10;450
2016-08-07;11;446
2016-08-07;12;457
2016-08-07;13;2044
2016-08-07;14;2083
2016-08-07;15;481
2016-08-07;16;451
2016-08-07;17;482
2016-08-07;18;1326
2016-08-07;19;702
2016-08-07;20;1759
2016-08-07;21;1929
2016-08-07;22;919
2016-08-07;23;926
;;
2016-08-08;0;466
2016-08-08;1;413
2016-08-08;2;505
2016-08-08;3;439
2016-08-08;4;551
2016-08-08;5;490
2016-08-08;6;502
2016-08-08;7;1673
2016-08-08;8;1716
2016-08-08;9;1805
2016-08-08;10;875
2016-08-08;11;484
2016-08-08;12;401
2016-08-08;13;578
2016-08-08;14;1643
2016-08-08;15;407
2016-08-08;16;414
2016-08-08;17;405
2016-08-08;18;649
2016-08-08;19;673
2016-08-08;20;1637
2016-08-08;21;2134
2016-08-08;22;1829
2016-08-08;23;529
;;
2016-08-09;0;442
2016-08-09;1;467
2016-08-09;2;426
2016-08-09;3;446
2016-08-09;4;456
2016-08-09;5;475
2016-08-09;6;517
2016-08-09;7;598
2016-08-09;8;1113
2016-08-09;9;1221
2016-08-09;10;425
2016-08-09;11;399
2016-08-09;12;449
2016-08-09;13;597
2016-08-09;14;530
2016-08-09;15;609
2016-08-09;16;530
2016-08-09;17;463
2016-08-09;18;423
2016-08-09;19;1217
2016-08-09;20;1922
2016-08-09;21;1639
2016-08-09;22;486
2016-08-09;23;476
;;
2016-08-10;0;448
2016-08-10;1;456
2016-08-10;2;441
2016-08-10;3;460
2016-08-10;4;425
2016-08-10;5;542
2016-08-10;6;428
2016-08-10;7;516
2016-08-10;8;631
2016-08-10;9;761
2016-08-10;10;386
2016-08-10;11;430
2016-08-10;12;547
2016-08-10;13;505
2016-08-10;14;1574
2016-08-10;15;672
2016-08-10;16;453
2016-08-10;17;411
2016-08-10;18;512
2016-08-10;19;799
2016-08-10;20;1379
2016-08-10;21;1194
2016-08-10;22;796
2016-08-10;23;850
;;
2016-08-11;0;436
2016-08-11;1;502
2016-08-11;2;461
2016-08-11;3;450
2016-08-11;4;412
2016-08-11;5;486
2016-08-11;6;400
2016-08-11;7;964
2016-08-11;8;628
2016-08-11;9;434
2016-08-11;10;421
2016-08-11;11;424
2016-08-11;12;475
2016-08-11;13;442
2016-08-11;14;558
2016-08-11;15;828
2016-08-11;16;795
2016-08-11;17;827
2016-08-11;18;823
2016-08-11;19;816
2016-08-11;20;1966
2016-08-11;21;1443
2016-08-11;22;1077
2016-08-11;23;856
;;
2016-08-12;0;423
2016-08-12;1;406
2016-08-12;2;450
2016-08-12;3;416
2016-08-12;4;425
2016-08-12;5;439
2016-08-12;6;414
2016-08-12;7;435
2016-08-12;8;960
2016-08-12;9;1913
2016-08-12;10;427
2016-08-12;11;309
2016-08-12;12;1012
2016-08-12;13;418
2016-08-12;14;892
2016-08-12;15;1551
2016-08-12;16;1032
2016-08-12;17;510
2016-08-12;18;364
2016-08-12;19;1272
2016-08-12;20;913
2016-08-12;21;446
2016-08-12;22;302
2016-08-12;23;321
;;
2016-08-13;0;310
2016-08-13;1;262
2016-08-13;2;299
2016-08-13;3;286
2016-08-13;4;287
2016-08-13;5;290
2016-08-13;6;234
2016-08-13;7;313
